,link,date,judge,decision
80,https://www.nycourts.gov/reporter/motions/2024/2024_97080.htm,2024-01-16,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
81,https://www.nycourts.gov/reporter/motions/2024/2024_97081.htm,2024-01-12,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
82,https://www.nycourts.gov/reporter/motions/2024/2024_97082.htm,2024-01-24,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal dismissed
83,https://www.nycourts.gov/reporter/motions/2024/2024_97083.htm,2024-01-24,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal dismissed
84,https://www.nycourts.gov/reporter/motions/2024/2024_97084.htm,2024-01-31,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
85,https://www.nycourts.gov/reporter/motions/2024/2024_97085.htm,2024-01-31,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
86,https://www.nycourts.gov/reporter/motions/2024/2024_97086.htm,2024-01-30,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
87,https://www.nycourts.gov/reporter/motions/2024/2024_97087.htm,2024-01-24,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
88,https://www.nycourts.gov/reporter/motions/2024/2024_97088.htm,2024-01-26,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
89,https://www.nycourts.gov/reporter/motions/2024/2024_97089.htm,2024-01-31,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
90,https://www.nycourts.gov/reporter/motions/2024/2024_97090.htm,2024-01-31,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
91,https://www.nycourts.gov/reporter/motions/2024/2024_97091.htm,2024-01-04,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
92,https://www.nycourts.gov/reporter/motions/2024/2024_97092.htm,2024-01-18,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
93,https://www.nycourts.gov/reporter/motions/2024/2024_97093.htm,2024-01-31,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
94,https://www.nycourts.gov/reporter/motions/2024/2024_97094.htm,2024-01-02,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
95,https://www.nycourts.gov/reporter/motions/2024/2024_97095.htm,2024-01-24,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
96,https://www.nycourts.gov/reporter/motions/2024/2024_97096.htm,2024-01-26,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
97,https://www.nycourts.gov/reporter/motions/2024/2024_97097.htm,2024-01-31,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
98,https://www.nycourts.gov/reporter/motions/2024/2024_97098.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
99,https://www.nycourts.gov/reporter/motions/2024/2024_97099.htm,2024-01-26,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
100,https://www.nycourts.gov/reporter/motions/2024/2024_97100.htm,2024-01-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
101,https://www.nycourts.gov/reporter/motions/2024/2024_97101.htm,2024-01-29,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal dismissed
102,https://www.nycourts.gov/reporter/motions/2024/2024_97102.htm,2024-01-12,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
103,https://www.nycourts.gov/reporter/motions/2024/2024_97103.htm,2024-01-16,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
104,https://www.nycourts.gov/reporter/motions/2024/2024_97104.htm,2024-01-11,"Reynolds Fitzgerald, J.",Disposition: Applications for Criminal Leave to appeal granted
105,https://www.nycourts.gov/reporter/motions/2024/2024_97105.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
106,https://www.nycourts.gov/reporter/motions/2024/2024_97106.htm,2024-02-23,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
107,https://www.nycourts.gov/reporter/motions/2024/2024_97107.htm,2024-02-26,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
108,https://www.nycourts.gov/reporter/motions/2024/2024_97108.htm,2024-02-23,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
